P. Name,P. Mass Class,P. Habitable Class,P. Min Mass (EU),P. Density (EU),Min Mass,Min Mass 3,X
HD 69830 c,Jovian,non-habitable,52.43,0.2,0,104.86,0
HD 69830 d,Jovian,non-habitable,80.41,0.21,0,160.82,0
HD 70642 b,Jovian,non-habitable,635.88,0.45,0,1271.76,0
HD 72659 b,Jovian,non-habitable,1001.51,0.64,1,2003.02,0
HD 72892 b,Jovian,non-habitable,1732.77,1.09,1,3465.54,1
HD 73256 b,Jovian,non-habitable,594.55,0.42,0,1189.1,0
HD 73267 b,Jovian,non-habitable,972.9,0.63,0,1945.8,0
HD 73526 b,Jovian,non-habitable,715.36,0.49,0,1430.72,0
HD 73526 c,Jovian,non-habitable,715.36,0.49,0,1430.72,0
HD 73534 b,Jovian,non-habitable,365.63,0.31,0,731.26,0
HD 74156 b,Jovian,non-habitable,565.3,0.41,0,1130.6,0
HD 74156 c,Jovian,non-habitable,2542.57,1.61,1,5085.14,1
HD 75784 b,Jovian,non-habitable,365.63,0.31,0,731.26,0
HD 75784 c,Jovian,non-habitable,1780.46,1.12,1,3560.92,1
HD 75898 b,Jovian,non-habitable,798.03,0.53,0,1596.06,0
HD 76920 b,Jovian,non-habitable,1249.5,0.79,1,2499.0,0
HD 77065 b,Jovian,non-habitable,13035.54,14.29,1,26071.08,1
HD 77338 b,Jovian,non-habitable,158.97,0.23,0,317.94,0
HD 79498 b,Jovian,non-habitable,426.04,0.34,0,852.08,0
HD 81040 b,Jovian,non-habitable,2181.07,1.37,1,4362.14,1
HD 81688 b,Jovian,non-habitable,562.75,0.41,0,1125.5,0
HD 82886 b,Jovian,non-habitable,413.32,0.34,0,826.64,0
HD 82943 b,Jovian,non-habitable,4610.13,3.19,1,9220.26,1
HD 82943 c,Jovian,non-habitable,4575.16,3.16,1,9150.32,1
HD 82943 d,Jovian,non-habitable,92.2,0.21,0,184.4,0
HD 85390 b,Neptunian,non-habitable,41.97,0.2,0,83.94,0
HD 85390 c,Jovian,non-habitable,63.59,0.2,0,127.18,0
HD 85512 b,Terran,non-habitable,3.5,1.03,0,7.0,0
HD 86226 b,Jovian,non-habitable,476.91,0.37,0,953.82,0
HD 86264 b,Jovian,non-habitable,2225.58,1.4,1,4451.16,1
HD 86950 b,Jovian,non-habitable,1144.58,0.73,1,2289.16,0
HD 87646 A b,Jovian,non-habitable,3942.46,2.63,1,7884.92,1
HD 87646 A c,Jovian,non-habitable,18122.58,24.91,1,36245.16,1
HD 89307 b,Jovian,non-habitable,635.88,0.45,0,1271.76,0
HD 89744 b,Jovian,non-habitable,2829.67,1.8,1,5659.34,1
HD 89744 c,Jovian,non-habitable,1017.41,0.65,1,2034.82,0
HD 90156 b,Neptunian,non-habitable,18.12,0.2,0,36.24,0
HD 92788 b,Jovian,non-habitable,8819.66,7.76,1,17639.32,1
HD 92788 c,Jovian,non-habitable,286.15,0.28,0,572.3,0
HD 93083 b,Jovian,non-habitable,117.64,0.22,0,235.28,0
HD 93385 b,Superterran,non-habitable,8.36,1.22,0,16.72,0
HD 93385 c,Neptunian,non-habitable,10.11,0.2,0,20.22,0
HD 95086 b,Jovian,non-habitable,1398.94,0.88,1,2797.88,0
HD 95089 b,Jovian,non-habitable,381.53,0.32,0,763.06,0
HD 95127 b,Jovian,non-habitable,1592.88,1.0,1,3185.76,0
HD 95872 b,Jovian,non-habitable,1462.52,0.92,1,2925.04,0
HD 96063 b,Jovian,non-habitable,286.15,0.28,0,572.3,0
